#{"t_start": 1736980437.014982, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
55.0,1831,0.704733
65.0,1135,0.866589
180.0,2317,1.173883
15.0,1201,1.330436
195.0,2499,1.637809
30.0,1811,1.876939
315.0,3203,2.292318
165.0,1981,2.532162
240.0,2947,2.916375
125.0,2255,3.194025
55.0,1541,3.390117
35.0,1499,3.572621
160.0,1853,3.814322
105.0,1433,3.983423
355.0,2079,4.239737
205.0,1801,4.464194
105.0,2087,4.72089
535.0,3045,5.084512
230.0,2633,5.41513
80.0,1773,5.623327
180.0,1821,5.860924
180.0,1961,6.093805
135.0,1971,6.346897
120.0,1941,6.573369
100.0,2041,6.835421
120.0,1811,7.052185
30.0,1139,7.192575
365.0,3595,7.618409
210.0,2737,7.963025
30.0,1251,8.110961
260.0,2625,8.439198
155.0,2487,8.73974
115.0,1487,8.947182
105.0,2063,9.192435
105.0,1901,9.436315
80.0,1595,9.625511
90.0,2213,9.909068
190.0,1955,10.147778
100.0,1577,10.35594
135.0,2465,10.654687
195.0,2685,11.000214
125.0,2105,11.263181
185.0,2713,11.604533
15.0,1701,11.815496
605.0,4245,12.329848
365.0,2327,12.620348
120.0,1867,12.859753
95.0,1963,13.104538
180.0,2105,15.346192
215.0,2473,15.653361
80.0,1815,15.927551
75.0,1193,16.075512
105.0,1925,16.322172
70.0,1323,16.499591
40.0,1489,16.687517
10.0,1639,16.891316
110.0,2213,17.172991
30.0,1617,17.377424
135.0,2065,17.644184
220.0,3935,18.132721
110.0,2091,18.407252
180.0,2833,18.774286
65.0,1203,18.937836
225.0,2511,19.26705
135.0,1939,19.512824
110.0,2277,19.804231
120.0,1955,20.050147
130.0,1941,20.295162
105.0,1819,20.518569
105.0,1849,20.759668
210.0,2099,21.013362
50.0,1649,21.22852
35.0,1139,21.366578
360.0,2835,21.724861
110.0,2285,22.002978
460.0,4601,22.560506
65.0,1397,22.743302
105.0,1961,22.976993
110.0,1865,23.218618
105.0,1731,23.43251
130.0,2303,23.72976
95.0,1353,23.895914
75.0,1949,24.142088
50.0,1761,24.374217
210.0,2267,24.676526
65.0,1833,24.912131
150.0,1475,25.091881
225.0,3861,25.566706
415.0,2551,25.890104
230.0,2809,26.26241
60.0,1649,26.48591
210.0,2579,26.809203
55.0,1657,27.020179
90.0,1421,27.196909
105.0,1895,27.444351
260.0,2683,27.778477
20.0,1253,28.01307
105.0,1639,28.218114
140.0,1881,30.883482
110.0,2311,31.212517
120.0,1577,31.428545
65.0,1705,31.695256
35.0,1145,31.841804
120.0,1859,32.083869
55.0,1869,32.321772
120.0,1789,32.549779
285.0,3487,32.974228
35.0,1719,33.202034
35.0,1455,33.391732
105.0,1871,33.6483
120.0,1865,33.891391
185.0,2041,34.150702
15.0,1147,34.297953
140.0,2109,34.564548
70.0,1769,34.794316
110.0,1869,35.024633
195.0,2811,35.383385
120.0,1817,35.616774
105.0,1871,35.883668
45.0,1317,36.048138
105.0,1941,36.30218
20.0,1023,36.432078
80.0,1101,36.567812
210.0,1979,36.820832
150.0,1995,37.073387
75.0,1509,37.267766
110.0,1655,37.487639
210.0,2329,37.794024
135.0,2429,38.099761
35.0,1729,38.320444
60.0,1491,38.516477
60.0,1413,38.694688
140.0,2183,38.981968
105.0,1753,39.198857
95.0,1585,39.423169
155.0,2433,39.729075
225.0,2513,40.085975
150.0,2207,40.365821
240.0,3151,40.776897
135.0,2051,41.04812
180.0,1875,41.319839
50.0,1131,41.465662
440.0,3519,41.905087
125.0,1931,42.15388
110.0,1889,42.390878
45.0,1727,42.613584
85.0,1091,42.758885
55.0,1141,42.900514
460.0,4129,43.412234
180.0,2493,43.730983
135.0,1959,43.976184
245.0,2359,46.22175
110.0,1543,46.417073
110.0,2107,46.715605
190.0,2263,46.998897
30.0,1597,47.218025
325.0,2967,47.591551
150.0,2223,47.880553
120.0,1535,48.071956
65.0,1761,48.302319
90.0,1421,48.481248
105.0,1717,48.703997
215.0,2907,49.080392
105.0,2025,49.341772
185.0,2007,49.594358
35.0,1541,49.79347
55.0,1211,49.970255
215.0,3527,50.417394
165.0,1925,50.660547
80.0,1137,50.806707
175.0,2337,51.102554
75.0,1299,51.264205
270.0,3753,51.74179
210.0,3113,52.135318
430.0,2909,52.502859
150.0,1503,52.691163
80.0,1187,52.842231
265.0,2873,53.245924
30.0,1269,53.406493
80.0,1729,53.637171
155.0,1559,53.832307
105.0,1155,53.985955
465.0,3391,54.40989
260.0,3053,54.795716
150.0,1765,55.030316
90.0,1219,55.191464
185.0,1917,55.431829
110.0,1529,55.629279
35.0,1829,55.866448
440.0,2783,56.219247
155.0,2449,56.53148
110.0,1793,56.769422
35.0,1481,56.961719
130.0,1773,57.18969
70.0,1241,57.35061
325.0,3273,57.766626
210.0,1881,58.009486
235.0,2571,58.339551
215.0,2543,58.657577
135.0,2169,58.934053
15.0,1015,59.068008
